skillName,simLinked,simSymba
power systems,"Tuple{String,Float32}[(""power systems"", 1.0), (""core systems"", 0.769231), (""open systems"", 0.769231), (""solar systems"", 0.769231), (""water systems"", 0.769231), (""web systems"", 0.769231), (""ibm power systems"", 0.764706), (""low power systems"", 0.764706), (""expert systems"", 0.714286), (""gerber systems"", 0.714286), (""linear systems"", 0.714286), (""reward systems"", 0.714286)]","Tuple{String,Float32}[]"
javaserver faces (jsf),"Tuple{String,Float32}[(""javaserver faces (jsf)"", 1.0), (""javaserver pages (jsp)"", 0.863636)]","Tuple{String,Float32}[]"
enterprise javabeans (ejb),"Tuple{String,Float32}[(""enterprise javabeans (ejb)"", 1.0)]","Tuple{String,Float32}[]"
pharmaceutical sales,"Tuple{String,Float32}[(""pharmaceutical sales"", 1.0), (""pharmaceutical care"", 0.85), (""pharmaceutical law"", 0.8), (""pharmaceutical sciences"", 0.782609), (""pharmaceutical policy"", 0.761905), (""pharmaceutical companies"", 0.75), (""pharmaceuticals"", 0.75), (""pharmaceutical research"", 0.73913)]","Tuple{String,Float32}[(""pharmaceuticals"", 0.75)]"
powershell,"Tuple{String,Float32}[(""powershell"", 1.0), (""powerschool"", 0.727273)]","Tuple{String,Float32}[]"
flash,"Tuple{String,Float32}[(""flash"", 1.0), (""flask"", 0.8), (""flashmx"", 0.714286), (""fly ash"", 0.714286)]","Tuple{String,Float32}[(""flash"", 1.0), (""flask"", 0.8)]"
fmea,"Tuple{String,Float32}[(""fmeca"", 0.8), (""pfmea"", 0.8), (""fma"", 0.75), (""fme"", 0.75), (""mea"", 0.75)]","Tuple{String,Float32}[]"
spc,"Tuple{String,Float32}[(""scpc"", 0.75), (""spcc"", 0.75), (""spec"", 0.75)]","Tuple{String,Float32}[]"
ppap,"Tuple{String,Float32}[(""ppaps"", 0.8), (""pap"", 0.75), (""pcap"", 0.75), (""peap"", 0.75), (""ppa"", 0.75), (""ppp"", 0.75), (""pptp"", 0.75)]","Tuple{String,Float32}[]"
root cause analysis,"Tuple{String,Float32}[(""root cause analysis"", 1.0), (""worst case analysis"", 0.789474), (""food cost analysis"", 0.736842), (""use case analysis"", 0.736842)]","Tuple{String,Float32}[(""root cause analysis (rca)"", 0.76)]"
mercadotecnia,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
redes sociales,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
marketing en internet,"Tuple{String,Float32}[(""marketing engineering"", 0.761905), (""marketing en ligne"", 0.714286)]","Tuple{String,Float32}[]"
estrategia de mercadotecnia,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
salesforce.com development,"Tuple{String,Float32}[(""salesforce.com development"", 1.0), (""sales force development"", 0.807692), (""sales process development"", 0.730769), (""sales program development"", 0.730769)]","Tuple{String,Float32}[]"
refactoring,"Tuple{String,Float32}[(""refactoring"", 1.0), (""factoring"", 0.818182), (""restoring"", 0.727273), (""vectoring"", 0.727273)]","Tuple{String,Float32}[(""refactoring"", 1.0)]"
