skillName,simSymba,bestSimSymba
java,"Tuple{String,Float32}[(""java"", 1.0), (""java"", 1.0)]",1
typescript,"Tuple{String,Float32}[(""typescript"", 1.0)]",1
data structures,"Tuple{String,Float32}[(""data structures"", 1.0)]",1
automation,"Tuple{String,Float32}[(""automation"", 1.0)]",1
semiconductors,"Tuple{String,Float32}[(""semiconductors"", 1.0)]",1
transportation,"Tuple{String,Float32}[(""transportation"", 1.0)]",1
negotiation,"Tuple{String,Float32}[(""negotiation"", 1.0), (""negotiation"", 1.0), (""negotiation"", 1.0)]",1
asset managment,"Tuple{String,Float32}[(""asset management"", 0.9375), (""waste management"", 0.75), (""budget management"", 0.705882)]",0.9375
business development,"Tuple{String,Float32}[(""business development"", 1.0)]",1
sas,"Tuple{String,Float32}[(""sas"", 1.0), (""sass"", 0.75)]",1
spss,"Tuple{String,Float32}[(""spss"", 1.0), (""sass"", 0.75)]",1
bash,"Tuple{String,Float32}[(""bash"", 1.0)]",1
real estate,"Tuple{String,Float32}[(""real estate"", 1.0)]",1
accounting,"Tuple{String,Float32}[(""accounting"", 1.0), (""tax accounting"", 0.714286)]",1
storyboarding,"Tuple{String,Float32}[(""storyboarding"", 1.0)]",1
3d modeling,"Tuple{String,Float32}[(""3d modelling"", 0.916667)]",0.916667
sketch,"Tuple{String,Float32}[(""sketch"", 1.0)]",1
operating systems,"Tuple{String,Float32}[(""operating systems"", 1.0), (""operating system"", 0.941176)]",1
import,"Tuple{String,Float32}[(""import"", 1.0)]",1
informatica,"Tuple{String,Float32}[(""informatica"", 1.0)]",1
css,"Tuple{String,Float32}[(""css"", 1.0)]",1
jenkins,"Tuple{String,Float32}[(""jenkins"", 1.0)]",1
java script,"Tuple{String,Float32}[(""javascript"", 0.909091)]",0.909091
proofreading,"Tuple{String,Float32}[(""proofreading"", 1.0)]",1
kubernetes,"Tuple{String,Float32}[(""kubernetes"", 1.0)]",1
pair programming,"Tuple{String,Float32}[(""pair programming"", 1.0)]",1
sass,"Tuple{String,Float32}[(""sass"", 1.0), (""spss"", 0.75), (""sas"", 0.75)]",1
auditing,"Tuple{String,Float32}[(""auditing"", 1.0)]",1
hadoop,"Tuple{String,Float32}[(""hadoop"", 1.0)]",1
agile,"Tuple{String,Float32}[(""agile"", 1.0), (""agile"", 1.0)]",1
video,"Tuple{String,Float32}[(""video"", 1.0), (""video"", 1.0)]",1
supply management,"Tuple{String,Float32}[(""supply management"", 1.0), (""security management"", 0.736842), (""security management"", 0.736842), (""page management"", 0.705882), (""money management"", 0.705882), (""budget management"", 0.705882)]",1
procurement,"Tuple{String,Float32}[(""procurement"", 1.0), (""procurement"", 1.0), (""procurement"", 1.0), (""procurement"", 1.0), (""procurement"", 1.0)]",1
sap,"Tuple{String,Float32}[(""sap"", 1.0)]",1
finance,"Tuple{String,Float32}[(""finance"", 1.0), (""finance"", 1.0), (""france"", 0.714286)]",1
quantitative research,"Tuple{String,Float32}[(""quantitative research"", 1.0), (""qualitative research"", 0.904762)]",1
twitter,"Tuple{String,Float32}[(""twitter"", 1.0)]",1
flash,"Tuple{String,Float32}[(""flash"", 1.0), (""flask"", 0.8)]",1
refactoring,"Tuple{String,Float32}[(""refactoring"", 1.0)]",1
digital,"Tuple{String,Float32}[(""digital"", 1.0), (""digital"", 1.0)]",1
education,"Tuple{String,Float32}[(""education"", 1.0), (""education"", 1.0), (""educating"", 0.777778)]",1
docker,"Tuple{String,Float32}[(""docker"", 1.0)]",1
data structure ,"Tuple{String,Float32}[(""data structures"", 0.933333)]",0.933333
content management,"Tuple{String,Float32}[(""content management"", 1.0), (""event management"", 0.777778), (""money management"", 0.777778), (""done management"", 0.777778), (""complaint management"", 0.75), (""contributor management"", 0.727273), (""change management"", 0.722222), (""team management"", 0.722222), (""project management"", 0.722222), (""order management"", 0.722222), (""budget management"", 0.722222), (""asset management"", 0.722222), (""cadence management"", 0.722222), (""waste management"", 0.722222), (""cadence management"", 0.722222)]",1
outlook,"Tuple{String,Float32}[(""outlook"", 1.0)]",1
risk analysis,"Tuple{String,Float32}[(""risk analysis"", 1.0)]",1
go,"Tuple{String,Float32}[(""go"", 1.0)]",1
inspection,"Tuple{String,Float32}[(""inspections"", 0.909091)]",0.909091
budget management,"Tuple{String,Float32}[(""budget management"", 1.0), (""page management"", 0.764706), (""order management"", 0.764706), (""asset management"", 0.764706), (""project management"", 0.722222), (""content management"", 0.722222), (""product management"", 0.722222), (""change management"", 0.705882), (""supply management"", 0.705882), (""event management"", 0.705882), (""money management"", 0.705882), (""float management"", 0.705882), (""rights management"", 0.705882), (""waste management"", 0.705882), (""done management"", 0.705882)]",1
infrastructure,"Tuple{String,Float32}[(""infrastructure"", 1.0), (""infrastructure"", 1.0), (""infrastructure"", 1.0)]",1
pentaho,"Tuple{String,Float32}[(""pentaho"", 1.0), (""pentaho"", 1.0)]",1
perl,"Tuple{String,Float32}[(""perl"", 1.0)]",1
typography,"Tuple{String,Float32}[(""typography"", 1.0)]",1
energy,"Tuple{String,Float32}[(""energy"", 1.0), (""energy"", 1.0)]",1
chef,"Tuple{String,Float32}[(""chef"", 1.0)]",1
yii,"Tuple{String,Float32}[(""yii"", 1.0)]",1
typescript,"Tuple{String,Float32}[(""typescript"", 1.0)]",1
social skills,"Tuple{String,Float32}[(""social skills"", 1.0)]",1
presentations,"Tuple{String,Float32}[(""presentation"", 0.923077), (""presentation"", 0.923077)]",0.923077
search,"Tuple{String,Float32}[(""search"", 1.0), (""research"", 0.75), (""research"", 0.75), (""research"", 0.75), (""research"", 0.75)]",1
adobe experience manager,"Tuple{String,Float32}[(""adobe experience manager"", 1.0)]",1
design,"Tuple{String,Float32}[(""design"", 1.0)]",1
negotiations,"Tuple{String,Float32}[(""negotiation"", 0.916667), (""negotiation"", 0.916667), (""negotiation"", 0.916667)]",0.916667
psychology,"Tuple{String,Float32}[(""psychology"", 1.0)]",1
microservices,"Tuple{String,Float32}[(""microservices"", 1.0)]",1
docker,"Tuple{String,Float32}[(""docker"", 1.0)]",1
coaching,"Tuple{String,Float32}[(""coaching"", 1.0), (""coaching"", 1.0)]",1
consultancy,"Tuple{String,Float32}[(""consultancy"", 1.0)]",1
mentoring,"Tuple{String,Float32}[(""mentoring"", 1.0), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8), (""monitoring"", 0.8)]",1
qlikview,"Tuple{String,Float32}[(""qlikview"", 1.0)]",1
corporate finance,"Tuple{String,Float32}[(""corporate finance"", 1.0)]",1
automotive,"Tuple{String,Float32}[(""automotive"", 1.0), (""automobiles"", 0.727273)]",1
aviation,"Tuple{String,Float32}[(""aviation"", 1.0)]",1
